"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_instructions4","correct_keyboard_response","correct_response","correct_stim","count_ISI","count_block_one","count_block_two","count_break","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_keyboard_response","count_logger","count_new_inline_javascript","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","false_response","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_one","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_keyboard_response","response_stim","response_time","response_time_break","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_keyboard_response","response_time_stim","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim","subject_nr","subject_parity","time_ISI","time_block_one","time_block_two","time_break","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_keyboard_response","time_logger","time_new_inline_javascript","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","true_false","true_response","uniform_coordinates","width"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","10","0","0","0","0","10","0","0","0","0","10","10","0","10","10","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","10","10","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1303","2","legacy","1024","2","48000","-16","experiment","Egypt is Europe.","0","even","70366","32704","NA","NA","2596","69863","2701","7982","17308","27533","70567","71567","2695","68556","68553","Sentence_verification","0","11000","11","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","11","0","0","0","0","11","0","0","0","0","11","11","0","11","11","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","11","11","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","937","2","legacy","1024","2","48000","-16","experiment","An orchid is a flower.","0","even","73068","32704","NA","NA","2596","72563","2701","7982","17308","27533","73269","74269","2695","71623","71619","Sentence_verification","0","12000","12","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","12","0","0","0","0","12","0","0","0","0","12","12","0","12","12","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","12","12","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1103","2","legacy","1024","2","48000","-16","experiment","A banana has bones.","0","even","75932","32704","NA","NA","2596","75429","2701","7982","17308","27533","76133","77133","2695","74321","74317","Sentence_verification","0","13000","13","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","13","0","0","0","0","13","0","0","0","0","13","13","0","13","13","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","13","13","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","993","2","legacy","1024","2","48000","-16","experiment","A parrot is a bird.","0","even","78694","32704","NA","NA","2596","78190","2701","7982","17308","27533","78894","79894","2695","77191","77187","Sentence_verification","0","14000","14","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S2","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","14","0","0","0","0","14","0","0","0","0","14","14","0","14","14","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","14","14","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1460","2","legacy","1024","2","48000","-16","experiment","A corporal is a person.","0","even","81917","32704","NA","NA","2596","81414","2701","7982","17308","27533","82118","83118","2695","79949","79945","Sentence_verification","0","15000","15","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","15","0","0","0","0","15","0","0","0","0","15","15","0","15","15","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","15","15","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1643","2","legacy","1024","2","48000","-16","experiment","Nylon is smooth.","0","even","85326","32704","NA","NA","2596","84819","2701","7982","17308","27533","85526","86526","2695","83171","83166","Sentence_verification","0","16000","16","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","16","0","0","0","0","16","0","0","0","0","16","16","0","16","16","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","16","16","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1040","2","legacy","1024","2","48000","-16","experiment","A pistol can fire. ","0","even","88129","32704","NA","NA","2596","87623","2701","7982","17308","27533","88329","89329","2695","86579","86576","Sentence_verification","0","17000","17","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","17","0","0","0","0","17","0","0","0","0","17","17","0","17","17","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","17","17","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","931","2","legacy","1024","2","48000","-16","experiment","An apple is a building.","0","even","90827","32704","NA","NA","2596","90323","2701","7982","17308","27533","91027","92027","2695","89388","89382","Sentence_verification","0","18000","18","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","18","0","0","0","0","18","0","0","0","0","18","18","0","18","18","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","18","18","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","2150","2","legacy","1024","2","48000","-16","experiment","Chicago is a state.","0","even","94743","32704","NA","NA","2596","94238","2701","7982","17308","27533","94943","95943","2695","92084","92079","Sentence_verification","0","19000","19","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","19","0","0","0","0","19","0","0","0","0","19","19","0","19","19","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","19","19","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1056","2","legacy","1024","2","48000","-16","experiment","A robin is a robin.","0","even","97563","32704","NA","NA","2596","97059","2701","7982","17308","27533","97764","98764","2695","95998","95994","Sentence_verification","0","20000","20","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","20","0","0","0","0","20","0","0","0","0","20","20","0","20","20","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","20","20","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","794","2","legacy","1024","2","48000","-16","experiment","A shotgun is a shotgun. ","0","even","100113","32704","NA","NA","2596","99609","2701","7982","17308","27533","100313","101313","2695","98810","98805","Sentence_verification","0","21000","21","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","21","0","0","0","0","21","0","0","0","0","21","21","0","21","21","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","21","21","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1036","2","legacy","1024","2","48000","-16","experiment","A tugboat can pull.","0","even","102919","32704","NA","NA","2596","102413","2701","7982","17308","27533","103119","104119","2695","101373","101369","Sentence_verification","0","22000","22","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","22","0","0","0","0","22","0","0","0","0","22","22","0","22","22","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","22","22","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1123","2","legacy","1024","2","48000","-16","experiment","A revolver is a gun.","0","even","105813","32704","NA","NA","2596","105309","2701","7982","17308","27533","106013","107013","2695","104181","104177","Sentence_verification","0","23000","23","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P2","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","23","0","0","0","0","23","0","0","0","0","23","23","0","23","23","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","23","23","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","878","2","legacy","1024","2","48000","-16","experiment","Gin is wet.","0","even","108453","32704","NA","NA","2596","107948","2701","7982","17308","27533","108653","109653","2695","107066","107063","Sentence_verification","0","24000","24","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","24","0","0","0","0","24","0","0","0","0","24","24","0","24","24","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","24","24","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","932","2","legacy","1024","2","48000","-16","experiment","Taffy is sweet. ","0","even","111153","32704","NA","NA","2596","110649","2701","7982","17308","27533","111353","112353","2695","109712","109708","Sentence_verification","0","25000","25","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S2","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","25","0","0","0","0","25","0","0","0","0","25","25","0","25","25","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","25","25","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1399","2","legacy","1024","2","48000","-16","experiment","A mesquite is a mineral.","0","even","114318","32704","NA","NA","2596","113814","2701","7982","17308","27533","114519","115519","2695","112410","112406","Sentence_verification","0","26000","26","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S2","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","26","0","0","0","0","26","0","0","0","0","26","26","0","26","26","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","26","26","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","870","2","legacy","1024","2","48000","-16","experiment","An elm is a plant.","0","even","116961","32704","NA","NA","2596","116454","2701","7982","17308","27533","117161","118161","2695","115580","115575","Sentence_verification","0","27000","27","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","27","0","0","0","0","27","0","0","0","0","27","27","0","27","27","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","27","27","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1349","2","legacy","1024","2","48000","-16","experiment","Miami has snow.","0","even","120079","32704","NA","NA","2596","119574","2701","7982","17308","27533","120279","121279","2695","118221","118217","Sentence_verification","0","28000","28","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","28","0","0","0","0","28","0","0","0","0","28","28","0","28","28","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","28","28","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","5252","9317","10221","5171","1000","1756","2","legacy","1024","2","48000","-16","experiment","A dove has fins.","0","even","123603","32704","NA","NA","2596","123099","2701","7982","17308","27533","123803","124803","2695","121339","121335","Sentence_verification","0","29000","29","FALSE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","29","0","0","0","0","29","0","0","0","0","29","29","0","29","29","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","29","29","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1809","2","legacy","1024","2","48000","-16","experiment","A schooner has a rudder.","0","even","127173","32704","NA","NA","2596","126669","2701","7982","17308","27533","127373","128373","2695","124855","124851","Sentence_verification","0","30000","30","TRUE","m","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","30","0","0","0","0","30","0","0","0","0","30","30","0","30","30","Wed Nov 17 08:47:24 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","z","no","mono","no","18","no","white","no","no","768","legacy","30","30","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","5252","9317","10221","5171","1000","1025","2","legacy","1024","2","48000","-16","experiment","Baltimore is a city.","0","even","129963","32704","NA","NA","2596","129459","2701","7982","17308","27533","130163","131163","2695","128429","128424","Sentence_verification","0","31000","31","TRUE","m","yes","1024"
